Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Zyon McCollum,2022,CB,Sam Houston St.,199,6,2,74,4.33,0.91617093,39.5,1.002510163,,0,132,0.944785384,6.48,0.74221811,3.94,0.7421963,4.347880888
Damone Clark,2022,LB,LSU,239,6,3,75,4.57,1.056629112,36.5,1.127610006,,0,127,1.106464091,7.12,0.992683728,,0,4.283386937
Bailey Zappe,2022,QB,Western Kentucky,215,6,1,73,4.88,0.866405311,30,0.811501762,,0,109,0.831500006,7.19,0.877732047,4.4,0.883388546,4.270527672
Peyton Hendershot,2022,TE,Indiana,250,6,4,76,4.8,1.066330844,32.5,1.064250478,,0,117,1.080472957,,0,4.25,1.032952374,4.244006654
Leon O'Neal,2022,S,Texas A&M,204,6,1,73,,1,35,0.898313578,15,0.635912583,125,0.904768515,6.89,0.798075529,,0,4.237070205
Darrian Beavers,2022,LB,Cincinnati,237,6,4,76,,1,36.5,1.133082925,,0,125,1.094325175,6.91,0.968081076,,0,4.195489175
Khalil Shakir,2022,WR,Boise St.,196,6,1,73,4.43,0.87007124,34.5,0.8507558,,0,124,0.862333098,7.28,0.810181003,4.21,0.770546398,4.163887539
Johnny Johnson III,2022,WR,Oregon,197,6,1,73,4.6,0.842191517,32,0.793132884,,0,121,0.845763416,7.21,0.806484632,4.54,0.83518504,4.122757489
Isaiah Weston,2022,WR,Northern Iowa,214,6,4,76,4.42,0.991253433,40,1.121228812,20,0.925998947,135,1.067174829,,0,,0,4.10565602
Trey McBride,2022,TE,Colorado St.,246,6,4,76,,1,33,1.063333586,18,0.958019472,117,1.06318539,,0,,0,4.084538447
Myjai Sanders,2022,EDGE,Cincinnati,228,6,5,77,4.67,1.012717465,33,0.998496172,,0,120,1.02395591,,0,4.37,0.981397114,4.01656666
Matt Waletzko,2022,OT,North Dakota,312,6,8,80,5.03,1.336768502,30,1.290543738,,0,113,1.370873759,,0,,0,3.998185999
Skyy Moore,2022,WR,Western Michigan,195,5,10,70,4.41,0.833822615,34.5,0.811631023,,0,125,0.829310384,7.13,0.756996595,4.32,0.754317469,3.986078086
